row_id,sentiment_text,ground_truth,final_text_original,bing_liu_sentiment,bing_liu_sentiment_score,bing_liu_sentiment_confidence,swn_sentiment
19,"Why Today in Tabs is my favorite newsletter:Takes like this: Now that xAI has bought X dot com and SpaceX has bought xAI, SpaceX is a lean, mean space launch satellite internet social media AI CSAM-as-a-service machine. Or, as Musk describes it, “a sentient sun to understand the Universe and extend the light of consciousness to the stars!” And this: if you, like me, are feeling somewhere close to a personal nadir of despair lately Tabs Senior Contributing Editor Bijan has some advice:I think it's important and quietly radical to remember that evil is real and it does exist. ... Good exists, too. There is an us and there is a them. Don't become like them. Caring about each other is the only thing that will bring us into the future.Also: The latest newsletter also has a long rant about how the people running the war in Iran was just don't give a shit about the destruction they're causing. A brief quote wouldn't do it justice. https://www.todayintabs.com/p/they-don-t-care?_bhlid=66d997c1878a2ec650106d6969597bc013d87dc0#SpaceX #Iran #IranWar #uspol",neutral,"why today in tabs is my favorite newsletter:takes like this: now that xai has bought x dot com and spacex has bought xai, spacex is a lean, mean space launch satellite internet social media ai csam-as-a-service machine. or, as musk describes it, “a sentient sun to understand the universe and extend the light of consciousness to the stars!” and this: if you, like me, are feeling somewhere close to a personal nadir of despair lately tabs senior contributing editor bijan has some advice:i think it's important and quietly radical to remember that evil is real and it does exist. ... good exists, too. there is an us and there is a them. don't become like them. caring about each other is the only thing that will bring us into the future.also: the latest newsletter also has a long rant about how the people running the war in iran was just don't give a shit about the destruction they're causing. a brief quote wouldn't do it justice. #iran #iranwar #uspol",negative,-0.1428571428571428,0.1428571428571428,Neutral
20,NOW PLAYING == #GreenSocialist Notes with Howie Hawkins Episode 268  3/7/26 https://www.youtube.com/watch?v=YO8MhYK7GkE  #news #uspol #GreenParty #leftist #revolution #left #green  #socialist #anticapitalist #vsn #radio #HowieHawkins #geopolitics #antiimperialism #antifascist #iran #iranwar #ecuador #oil #indigenous #drugwar #colombia #bolivia #russia #palestine #gaza  #israel #genocide #EpsteinFiles #uk #peace #antiwar #DiverseSpectrumOfTheLeft #SupportIndependentMedia,neutral,now playing == #greensocialist notes with howie hawkins episode 268 3/7/26 #news #uspol #greenparty #leftist #revolution #left #green #socialist #anticapitalist #vsn #radio #howiehawkins #geopolitics #antiimperialism #antifascist #iran #iranwar #ecuador #oil #indigenous #drugwar #colombia #bolivia #russia #palestine #gaza #israel #genocide #epsteinfiles #uk #peace #antiwar #diversespectrumoftheleft #supportindependentmedia,neutral,0.0,1.0,Neutral
21,Make America Go Away.#US #iran #iranwar #carloslatuff,negative,make america go away.#us #iran #iranwar #carloslatuff,neutral,0.0,0.0,Neutral
22,Iran’s Assembly of Experts could meet to elect new supreme leader within 24 hours  https://fed.brid.gy/r/https://metro.co.uk/2026/03/07/irans-assembly-experts-meet-elect-new-supreme-leader-within-24-hours-27286869/,neutral,iran’s assembly of experts could meet to elect new supreme leader within 24 hours,positive,1.0,1.0,Neutral
23,Iranian-Americans rally in Washington for democracy amid U.S.-Israel military campaignWASHINGTON (Gray DC) – Iranian-Americans gathered in Washington on Saturday to rally for democracy in Iran as the…#NewsBeep #News #BreakingNews #AnaSami #AyatollahKhamenei #breakingnews #Dc #DonaldTrump #Iran #iranwar #IranianFuture #Iranian-Americans #iranians #Israel #POTUS #U.S.Iran #Washingtonhttps://www.newsbeep.com/423199/,neutral,iranian-americans rally in washington for democracy amid u.s.-israel military campaignwashington (gray dc) – iranian-americans gathered in washington on saturday to rally for democracy in iran as the…#newsbeep #news #breakingnews #anasami #ayatollahkhamenei #breakingnews #dc #donaldtrump #iran #iranwar #iranianfuture #iranian-americans #iranians #israel #potus #u.s.iran #washington,neutral,0.0,0.0,Neutral
24,Media Is Lying To You About The Kurds https://youtu.be/wX9TjE4aYh0?si=hZCVQFhsbWSEQ8xd#Kurdish #Kurdistan #kurds #iranwar #handsoffiran,neutral,media is lying to you about the kurds #kurdistan #kurds #iranwar #handsoffiran,negative,-1.0,1.0,Neutral
25,"Interview: &quot;Trump Has No Clear Plan on Iran&quot;: fmr US officials&quot;Before my resignation, [this]is exactly what I was warning against&quot;.~Hala Rharrit&quot;It is ludicrous to expect the American people to believe that Iran would have attacked the US preemptively in the middle of negotiations.&quot;And the contradictory messages from Trump et al. show “how little they were really thinking this through before they went to war.”~Jasmine El-Gamalhttps://www.democracynow.org/2026/3/5/iran_state_defense #USPol #EUPol #IranWar .",neutral,"interview: &quot;trump has no clear plan on iran&quot;: fmr us officials&quot;before my resignation, [this]is exactly what i was warning against&quot;.~hala rharrit&quot;it is ludicrous to expect the american people to believe that iran would have attacked the us preemptively in the middle of negotiations.&quot;and the contradictory messages from trump et al. show “how little they were really thinking this through before they went to war.”~jasmine el-gamal #uspol #eupol #iranwar .",negative,-0.5,0.5,Neutral
26,"Analysis: &quot;Israel planned this war on Iran for 40 years.&quot;Netanyahu:&quot;This combined effort allows us to do what I have hoped to achieve for 40 years: to crush the regime of terror completely. That&#39;s my promise &amp; this is what is going to happen&quot; ~Netanyahu&quot;For 40 years, each year has been proclaimed the very last opportunity to stop the &quot;mad mullahs&quot; from obtaining a bomb – a bomb that never materialised.&quot;~Jonathan Cookhttps://www.middleeasteye.net/opinion/israel-planned-war-iran-40-years-everything-else-smoke-screen#USPol #EUPol #IranWar #USIsraeliCrimes .",negative,"analysis: &quot;israel planned this war on iran for 40 years.&quot;netanyahu:&quot;this combined effort allows us to do what i have hoped to achieve for 40 years: to crush the regime of terror completely. that&#39;s my promise &amp; this is what is going to happen&quot; ~netanyahu&quot;for 40 years, each year has been proclaimed the very last opportunity to stop the &quot;mad mullahs&quot; from obtaining a bomb – a bomb that never materialised.&quot;~jonathan cook #eupol #iranwar #usisraelicrimes .",negative,-0.6666666666666666,0.6666666666666666,Neutral
27,"Interview: &quot;America’s War for Greater Israel&quot;Mouin Rabbani unpacks:* the explosive new documents exposing Israel’s systematic ethnic cleansing in 1948;* Trump&#39;s torpedoing of diplomacy at the very moment negotiations were gaining traction;* whether Tehran’s bombing of Gulf states is a strategic miscalculation;* how Israel&#39;s unending quest for security has fuelled decades of expansion, war &amp; regional upheaval.https://www.middleeastmonitor.com/20260303-americas-war-for-greater-israel-palestine-this-week-with-mouin-rabbani/ #USPol #EUPol #IranWar #USIMperialism .",negative,"interview: &quot;america’s war for greater israel&quot;mouin rabbani unpacks:* the explosive new documents exposing israel’s systematic ethnic cleansing in 1948;* trump&#39;s torpedoing of diplomacy at the very moment negotiations were gaining traction;* whether tehran’s bombing of gulf states is a strategic miscalculation;* how israel&#39;s unending quest for security has fuelled decades of expansion, war &amp; regional upheaval. #uspol #eupol #iranwar #usimperialism .",neutral,0.0,1.0,Neutral
28,"Analysis: &quot;The Iranian Revolutionary Guard is reverting to its guerrilla roots &amp; is operating with something like a cell structure.&quot;&quot;Iran is fighting a techno-guerrilla war, [while] the US &amp; Israel fight a conventional one&quot;&quot;Quite apart from its failure, the [war] tactic of killing civilian leaders is a war crime &amp; is unprecedented in modern warfare&quot;. Not even Putin re Zelenskyy.https://www.juancole.com/2026/03/fighting-guerrilla-conventional.html #USPol #EUPol #IranWar #news .",neutral,"analysis: &quot;the iranian revolutionary guard is reverting to its guerrilla roots &amp; is operating with something like a cell structure.&quot;&quot;iran is fighting a techno-guerrilla war, [while] the us &amp; israel fight a conventional one&quot;&quot;quite apart from its failure, the [war] tactic of killing civilian leaders is a war crime &amp; is unprecedented in modern warfare&quot;. not even putin re zelenskyy. #uspol #eupol #iranwar #news .",neutral,0.0,1.0,Neutral
29,"#operationepicfailure #iran #iranwar #taco Every body warned about it , from the Washington post;“A classified report by the National Intelligence Council found that even a large-scale assault on Iran launched by the United States would be unlikely to oust the Islamic republic’s entrenched military and clerical establishment, a sobering assessment as the Trump administration raises the specter of an extended military campaign that officials say has “only just begun.”https://archive.is/2026.03.07-193951/https://www.washingtonpost.com/national-security/2026/03/07/iran-intelligence-report-unlikely-oust-regime/",neutral,"#operationepicfailure #iran #iranwar #taco every body warned about it , from the washington post;“a classified report by the national intelligence council found that even a large-scale assault on iran launched by the united states would be unlikely to oust the islamic republic’s entrenched military and clerical establishment, a sobering assessment as the trump administration raises the specter of an extended military campaign that officials say has “only just begun.”",negative,-0.3333333333333333,0.3333333333333333,Neutral
30,"Interview: &quot; We already are in a scenario where the US has lost control of this war&quot;&quot;Iran is the weaker party, but it has the capability to create a much longer mayhem than envisioned by the US &amp; Israel.&quot;~Political scientist Vali Nasrhttps://www.aljazeera.com/video/the-bottom-line/2026/3/4/iran-war-redrawing-the-map-of-the-middle-east-israeli-style #USPol #EUPol #IranWar #USImperialism #news #USIsraeliCrimes .",neutral,"interview: &quot; we already are in a scenario where the us has lost control of this war&quot;&quot;iran is the weaker party, but it has the capability to create a much longer mayhem than envisioned by the us &amp; israel.&quot;~political scientist vali nasr #uspol #eupol #iranwar #usimperialism #news #usisraelicrimes .",negative,-0.3333333333333333,0.3333333333333333,Neutral
31,"&quot;Imperial blowback&quot;In 1953, Churchill &amp; his US counterparts &quot;launched a coup against the democratically elected Prime Minister of Iran, Mohammad Mosaddegh, because he was nationalizing the oil industry...&quot;&quot;... and when that [US-UK] regime was overthrown in the Iranian revolution in 1979, one of the main reasons that people gave for that revolution was the overthrow of Mosaddegh in 1953...&quot;~George Monbiothttps://www.youtube.com/watch?v=eQ54eG4DjX0&amp;t=128s #USPol #UKPol #EUPol #IranWar #Imperialism #BigOil .",neutral,"&quot;imperial blowback&quot;in 1953, churchill &amp; his us counterparts &quot;launched a coup against the democratically elected prime minister of iran, mohammad mosaddegh, because he was nationalizing the oil industry...&quot;&quot;... and when that [us-uk] regime was overthrown in the iranian revolution in 1979, one of the main reasons that people gave for that revolution was the overthrow of mosaddegh in 1953...&quot;~george monbiot #uspol #ukpol #eupol #iranwar #imperialism #bigoil .",negative,-1.0,1.0,Neutral
32,"Report: &quot;Classified U.S. Document Says Iran War Unlikely to Topple the Regime&quot;The document from late February doubts that Iran’s opposition would take power following either a short or extended U.S. military campaign.&quot;The document came from the National Intelligence Council, which is composed of &quot;veteran analysts who produce classified assessments meant to represent the collective wisdom of Washington’s 18 intelligence agencies.&quot;https://www.washingtonpost.com/national-security/2026/03/07/iran-intelligence-report-unlikely-oust-regime/ #USPol #EUPol #IranWar #TrumpLies .",neutral,"report: &quot;classified u.s. document says iran war unlikely to topple the regime&quot;the document from late february doubts that iran’s opposition would take power following either a short or extended u.s. military campaign.&quot;the document came from the national intelligence council, which is composed of &quot;veteran analysts who produce classified assessments meant to represent the collective wisdom of washington’s 18 intelligence agencies.&quot; #uspol #eupol #iranwar #trumplies .",negative,-0.1428571428571428,0.1428571428571428,Neutral
33,"“In Minab, near the Strait of Hormuz, a girls school was bombed, leaving 165 children dead. Yet most Americans cannot name the town where it happened, much less the name of a single one of those girls…That is because modern war depends on a hierarchy of grief, on training people to treat foreign children as an abstraction, a number, an unfortunate ‘incident’ to be denied, obscured or investigated at leisure…the only fact that matters: Children were killed in their classroom, and they were killed with violence made possible, materially and politically, by American power.”#IranWar #children #schoolbombing https://anabaptistworld.org/when-the-bombs-fall-on-other-peoples-children/",negative,"“in minab, near the strait of hormuz, a girls school was bombed, leaving 165 children dead. yet most americans cannot name the town where it happened, much less the name of a single one of those girls…that is because modern war depends on a hierarchy of grief, on training people to treat foreign children as an abstraction, a number, an unfortunate ‘incident’ to be denied, obscured or investigated at leisure…the only fact that matters: children were killed in their classroom, and they were killed with violence made possible, materially and politically, by american power.”#iranwar #children #schoolbombing",negative,-0.75,0.75,Negative
34,"https://www.fogolf.com/1185581/trump-looks-to-turn-attention-to-western-hemisphere-at-least-for-a-moment-at-americas-summit/ Trump looks to turn attention to Western Hemisphere, at least for a moment, at Americas summit #130850145 #article #Diplomacy #Donald #DonaldTrump #DonaldTrumpGolf #DonaldTrumpGolfing #GeneralNews #GovernmentPolicy #IranWar #Politics #trump #TrumpGolf #TrumpGolfing #WarAndUnrest #WashingtonNews #WorldNews",neutral,"trump looks to turn attention to western hemisphere, at least for a moment, at americas summit #130850145 #article #diplomacy #donald #donaldtrump #donaldtrumpgolf #donaldtrumpgolfing #generalnews #governmentpolicy #iranwar #politics #trump #trumpgolf #trumpgolfing #warandunrest #washingtonnews #worldnews",positive,1.0,1.0,Neutral
35,We’re living in hell. #Claude #IranWar #AI https://bsky.app/profile/justinling.ca/post/3mgi4xz4pv22xArticle: https://thisweekinworcester.com/exclusive-ai-error-girls-school-bombing/,negative,we’re living in hell. #claude #iranwar #ai,negative,-1.0,1.0,Negative
36,NOW ON VERDANT SQUARE RADIO == NOW PLAYING == Don Lemon Drop LIVE 3/7/26 - Trump's #Epstein Distraction #IranWar https://www.youtube.com/watch?v=puqILgJ3l7A #news #uspol #radio #BlackMastodon #lgbtq #culture #commentary #trump #resistance #DonLemon #journalism #freespeech #firstamendment #pressfreedom #vsn #progressivenewstalk #progressive #left #resistance #DiverseSpectrumOfTheLeft #SupportIndependentMedia #Resisthttps://mastodon.social/@VerdantSquareRadio/116189422851976027,neutral,now on verdant square radio == now playing == don lemon drop live 3/7/26 - trump's #epstein distraction #iranwar #news #uspol #radio #blackmastodon #lgbtq #culture #commentary #trump #resistance #donlemon #journalism #freespeech #firstamendment #pressfreedom #vsn #progressivenewstalk #progressive #left #resistance #diversespectrumoftheleft #supportindependentmedia #resist,positive,0.25,0.25,Neutral
37,‘Operation Epstein Distraction’: Trump’s bloody Iran ‘hype videos’ seem to target niche audience https://www.theguardian.com/us-news/2026/mar/07/trump-iran-hype-videos #IranWar #EpsteinFiles #USPol #USPolitics #RepublicansOwnThis,neutral,‘operation epstein distraction’: trump’s bloody iran ‘hype videos’ seem to target niche audience #iranwar #epsteinfiles #uspol #uspolitics #republicansownthis,negative,-0.5,0.5,Neutral
38,"&quot;Policy choices, not market forces of a war halfway around the world, explain the spike in prices...leading to unnecessary economy-wide #inflation and higher interest rates.&quot; https://www.thestar.com/business/opinion/trumps-war-on-iran-hasnt-altered-canadas-cost-of-making-gas-at-all-so-why/article_4cd48522-31f5-4249-92da-37bbede816c9.html  #IranWar #Uspol #BigOil #WarMachine #cdnpoli",neutral,"&quot;policy choices, not market forces of a war halfway around the world, explain the spike in prices...leading to unnecessary economy-wide #inflation and higher interest rates.&quot; #iranwar #uspol #bigoil #warmachine #cdnpoli",neutral,0.0,1.0,Neutral
39,NOW PLAYING == Don Lemon Drop LIVE 3/7/26 - Trump&#39;s #Epstein Distraction #IranWar https://www.youtube.com/watch?v=puqILgJ3l7A #news #uspol #radio #BlackMastodon #lgbtq #culture #commentary #trump #resistance #DonLemon #journalism #freespeech #firstamendment #pressfreedom #vsn #progressivenewstalk #progressive #left #resistance #DiverseSpectrumOfTheLeft #SupportIndependentMedia #Resist,neutral,now playing == don lemon drop live 3/7/26 - trump&#39;s #epstein distraction #iranwar #news #uspol #radio #blackmastodon #lgbtq #culture #commentary #trump #resistance #donlemon #journalism #freespeech #firstamendment #pressfreedom #vsn #progressivenewstalk #progressive #left #resistance #diversespectrumoftheleft #supportindependentmedia #resist,positive,0.25,0.25,Neutral
40,"Jarrod Agen, Executive Director of Trump&#39;s National Energy Dominance Council, laid bare the real motive behind the illegal Iran war on Fox Business: it&#39;s a naked grab for Iran&#39;s oil reserves. &quot;This is a long-term game,&quot; Agen said. &quot;What we want to do is get such massive oil reserves in Iran out of the hands of terrorists.&quot;Trump&#39;s &quot;peace through strength&quot; is code for imperialist resource grabs dressed up as anti-terrorism. #NarcoTerrorism #IranWar",negative,"jarrod agen, executive director of trump&#39;s national energy dominance council, laid bare the real motive behind the illegal iran war on fox business: it&#39;s a naked grab for iran&#39;s oil reserves. &quot;this is a long-term game,&quot; agen said. &quot;what we want to do is get such massive oil reserves in iran out of the hands of terrorists.&quot;trump&#39;s &quot;peace through strength&quot; is code for imperialist resource grabs dressed up as anti-terrorism. #narcoterrorism #iranwar",neutral,0.0,1.0,Neutral
41,This morning the cost of Trump’s insane #IranWar passed $7.6 billion. https://iran-cost-ticker.com/?mc_cid=79f08e130b&amp;mc_eid=42caf3e016,negative,this morning the cost of trump’s insane #iranwar passed $7.6 billion.,neutral,0.0,1.0,Neutral
42,Martyn Turner @turnercartoons on #Trump #Putin #Iran #IranWar #Netanyahu #IranIsraelWar – political cartoon gallery in London original-political-cartoon.com,neutral,martyn turner @turnercartoons on #trump #putin #iran #iranwar #netanyahu #iranisraelwar – political cartoon gallery in london original-political-cartoon.com,positive,1.0,1.0,Neutral
43,"#GeoPolitics: Imagine that you're a superpower who picks a fight with a theocratic regime half way across the world for no good reason. And you're about to proudly declare victory when the theocracy goes on a rampage, pulls the entire neighborhood into the war, blocks a strategic shipping channel &amp; causes a severe oil supply shock.And that's when it hits you! You forgot to top up your Strategic Oil Reserves before entering the war! 🤦#IranWar - The war of #Hubris &amp; #Blunders!",negative,"#geopolitics: imagine that you're a superpower who picks a fight with a theocratic regime half way across the world for no good reason. and you're about to proudly declare victory when the theocracy goes on a rampage, pulls the entire neighborhood into the war, blocks a strategic shipping channel &amp; causes a severe oil supply shock.and that's when it hits you! you forgot to top up your strategic oil reserves before entering the war! :person_facepalming:#iranwar - the war of #hubris &amp; #blunders!",negative,-0.5555555555555556,0.5555555555555556,Neutral
44,Christian Adams @Adamstoon1 on #KeirStarmer #Iran #IranWar #RoyalNavy #MiddleEastConflict @Telegraph – political cartoon gallery in London original-political-cartoon.com,neutral,christian adams @adamstoon1 on #keirstarmer #iran #iranwar #royalnavy #middleeastconflict @telegraph – political cartoon gallery in london original-political-cartoon.com,neutral,0.0,0.0,Neutral
45,Oil and gas prices rapidly rise as Iran war shows no signs of letting upNEW YORK&nbsp;—&nbsp;The price of oil surged higher and showed no signs of halting its rapid climb a week…#NewsBeep #News #BreakingNews #alsalazar #barrel #breakingnews #day #diesel #gasprice #Gasoline #Iran #iranwar #majorrefinery #MiddleEast #Oil #PresidentTrump #price #u.s. #weekhttps://www.newsbeep.com/423054/,negative,oil and gas prices rapidly rise as iran war shows no signs of letting upnew york&nbsp;—&nbsp;the price of oil surged higher and showed no signs of halting its rapid climb a week…#newsbeep #news #breakingnews #alsalazar #barrel #breakingnews #day #diesel #gasprice #gasoline #iran #iranwar #majorrefinery #middleeast #oil #presidenttrump #price #u.s. #week,positive,1.0,1.0,Neutral
46,"RE: https://journa.host/@ScottLucas/116186718091385958US National Intelligence Council: US- #Israel war is unlikely to topple #Iran regimeAnalysts concluded regime would respond to killing of Supreme Leader w protocols designed to preserve continuity of powerProspect of Iran’s opposition taking control of country described as “unlikely""#IranWar",neutral,"re: national intelligence council: us- #israel war is unlikely to topple #iran regimeanalysts concluded regime would respond to killing of supreme leader w protocols designed to preserve continuity of powerprospect of iran’s opposition taking control of country described as “unlikely""#iranwar",negative,-0.25,0.25,Neutral
47,"Great Power Spillover from the Iran War: Implications for China, Russia, Turkey, and Europe | The Washington Institute #IranWar https://www.washingtoninstitute.org/policy-analysis/great-power-spillover-iran-war-implications-china-russia-turkey-and-europe",neutral,"great power spillover from the iran war: implications for china, russia, turkey, and europe | the washington institute #iranwar",positive,1.0,1.0,Neutral
