row_id,sentiment_text,ground_truth,final_text_style_b,swn_sentiment
17,"""This is the first war since the Second World War that is directly impacting cities that we can consider hubs in the #globalEconomy."" #AmericanPrestige pod welcomes #EsfandyarBatmanghelidj to discuss the economic consequences of #Trump's #warOnIran https://americanprestigepod.com/episodes/5052012542 #Iran #IranWar #USpol #USforeignPolicy #USMiddleEastPolicy #régimeChangeWars #GulfStates #MiddleEast",neutral,this be the first war since the second world war that be directly impact city that we can consider hub in the pod welcome to discuss the economic consequence of s httpsamericanprestigepodcomepisodes,Neutral
18,"With the bombing of the school and now this, the justification excuse of helping the people the FOTUS’s regime has used for attacking Iran is out the window. #USpol #IranWar “The Iranian Foreign Minister is claiming that the Epstein regime has just attacked a DESALINATION PLANT in Iran. If Iran responds in kind, the Middle East could become uninhabitable as there’s not enough fresh water for the populations to survive without their vulnerable desalination plants.” - The Resistance",neutral,with the bombing of the school and now this the justification excuse of help the people the fotuss regime have use for attack iran be out the window the iranian foreign minister be claim that the epstein regime have just attack a desalination plant in iran if iran responds in kind the middle east could become uninhabitable a there not enough fresh water for the population to survive without their vulnerable desalination plant the resistance,Neutral
19,"Why Today in Tabs is my favorite newsletter:Takes like this: Now that xAI has bought X dot com and SpaceX has bought xAI, SpaceX is a lean, mean space launch satellite internet social media AI CSAM-as-a-service machine. Or, as Musk describes it, “a sentient sun to understand the Universe and extend the light of consciousness to the stars!” And this: if you, like me, are feeling somewhere close to a personal nadir of despair lately Tabs Senior Contributing Editor Bijan has some advice:I think it's important and quietly radical to remember that evil is real and it does exist. ... Good exists, too. There is an us and there is a them. Don't become like them. Caring about each other is the only thing that will bring us into the future.Also: The latest newsletter also has a long rant about how the people running the war in Iran was just don't give a shit about the destruction they're causing. A brief quote wouldn't do it justice. https://www.todayintabs.com/p/they-don-t-care?_bhlid=66d997c1878a2ec650106d6969597bc013d87dc0#SpaceX #Iran #IranWar #uspol",neutral,why today in tab be my favorite newslettertakes like this now that xai have buy x dot com and spacex have buy xai spacex be a lean mean space launch satellite internet social medium ai csamasaservice machine or a musk describe it a sentient sun to understand the universe and extend the light of consciousness to the star and this if you like me be feel somewhere close to a personal nadir of despair lately tabs senior contribute editor bijan have some advicei think it important and quietly radical to remember that evil be real and it do exist good exists too there be an u and there be a them dont become like them care about each other be the only thing that will bring u into the futurealso the late newsletter also have a long rant about how the people run the war in iran be just dont give a shit about the destruction theyre cause a brief e wouldnt do it justice httpswwwtodayintabscomptheydontcare_bhliddcaecdbcddc,Neutral
20,NOW PLAYING == #GreenSocialist Notes with Howie Hawkins Episode 268  3/7/26 https://www.youtube.com/watch?v=YO8MhYK7GkE  #news #uspol #GreenParty #leftist #revolution #left #green  #socialist #anticapitalist #vsn #radio #HowieHawkins #geopolitics #antiimperialism #antifascist #iran #iranwar #ecuador #oil #indigenous #drugwar #colombia #bolivia #russia #palestine #gaza  #israel #genocide #EpsteinFiles #uk #peace #antiwar #DiverseSpectrumOfTheLeft #SupportIndependentMedia,neutral,now play note with howie hawkins episode httpswwwyoutubecomwatchvyomhykgke,Neutral
21,Make America Go Away.#US #iran #iranwar #carloslatuff,negative,make america go away,Neutral
22,Iran’s Assembly of Experts could meet to elect new supreme leader within 24 hours  https://fed.brid.gy/r/https://metro.co.uk/2026/03/07/irans-assembly-experts-meet-elect-new-supreme-leader-within-24-hours-27286869/,neutral,iran assembly of expert could meet to elect new supreme leader within hour httpsfedbridgyrhttpsmetrocoukiransassemblyexpertsmeetelectnewsupremeleaderwithinhours,Neutral
23,Iranian-Americans rally in Washington for democracy amid U.S.-Israel military campaignWASHINGTON (Gray DC) – Iranian-Americans gathered in Washington on Saturday to rally for democracy in Iran as the…#NewsBeep #News #BreakingNews #AnaSami #AyatollahKhamenei #breakingnews #Dc #DonaldTrump #Iran #iranwar #IranianFuture #Iranian-Americans #iranians #Israel #POTUS #U.S.Iran #Washingtonhttps://www.newsbeep.com/423199/,neutral,iranianamericans rally in washington for democracy amid usisrael military campaignwashington gray dc iranianamericans gather in washington on saturday to rally for democracy in iran a the american siran wwwnewsbeepcom,Neutral
24,Media Is Lying To You About The Kurds https://youtu.be/wX9TjE4aYh0?si=hZCVQFhsbWSEQ8xd#Kurdish #Kurdistan #kurds #iranwar #handsoffiran,neutral,medium be lie to you about the kurd httpsyoutubewxtjeayhsihzcvqfhsbwseqxd,Neutral
25,"Interview: &quot;Trump Has No Clear Plan on Iran&quot;: fmr US officials&quot;Before my resignation, [this]is exactly what I was warning against&quot;.~Hala Rharrit&quot;It is ludicrous to expect the American people to believe that Iran would have attacked the US preemptively in the middle of negotiations.&quot;And the contradictory messages from Trump et al. show “how little they were really thinking this through before they went to war.”~Jasmine El-Gamalhttps://www.democracynow.org/2026/3/5/iran_state_defense #USPol #EUPol #IranWar .",neutral,interview trump have no clear plan on iran fmr u officialsbefore my resignation thisis exactly what i be warn againsthala rharritit be ludicrous to expect the american people to believe that iran would have attack the u preemptively in the middle of negotiationsand the contradictory message from trump et al show how little they be really think this through before they go to warjasmine elgamalhttpswwwdemocracynoworgiran_state_defense,Positive
26,"Analysis: &quot;Israel planned this war on Iran for 40 years.&quot;Netanyahu:&quot;This combined effort allows us to do what I have hoped to achieve for 40 years: to crush the regime of terror completely. That&#39;s my promise &amp; this is what is going to happen&quot; ~Netanyahu&quot;For 40 years, each year has been proclaimed the very last opportunity to stop the &quot;mad mullahs&quot; from obtaining a bomb – a bomb that never materialised.&quot;~Jonathan Cookhttps://www.middleeasteye.net/opinion/israel-planned-war-iran-40-years-everything-else-smoke-screen#USPol #EUPol #IranWar #USIsraeliCrimes .",negative,analysis israel plan this war on iran for yearsnetanyahuthis combine effort allow u to do what i have hop to achieve for year to crush the regime of terror completely thats my promise amp this be what be go to happen netanyahufor year each year have be proclaim the very last opportunity to stop the mad mullah from obtain a bomb a bomb that never materialisedjonathan cookhttpswwwmiddleeasteyenetopinionisraelplannedwariranyearseverythingelsesmokescreen,Neutral
27,"Interview: &quot;America’s War for Greater Israel&quot;Mouin Rabbani unpacks:* the explosive new documents exposing Israel’s systematic ethnic cleansing in 1948;* Trump&#39;s torpedoing of diplomacy at the very moment negotiations were gaining traction;* whether Tehran’s bombing of Gulf states is a strategic miscalculation;* how Israel&#39;s unending quest for security has fuelled decades of expansion, war &amp; regional upheaval.https://www.middleeastmonitor.com/20260303-americas-war-for-greater-israel-palestine-this-week-with-mouin-rabbani/ #USPol #EUPol #IranWar #USIMperialism .",negative,interview americas war for great israelmouin rabbani unpack the explosive new document expose israel systematic ethnic cleansing in trumps torpedoing of diplomacy at the very moment negotiation be gain traction whether tehran bomb of gulf state be a strategic miscalculation how israels unending quest for security have fuel decade of expansion war amp regional upheavalhttpswwwmiddleeastmonitorcomamericaswarforgreaterisraelpalestinethisweekwithmouinrabbani,Neutral
28,"Analysis: &quot;The Iranian Revolutionary Guard is reverting to its guerrilla roots &amp; is operating with something like a cell structure.&quot;&quot;Iran is fighting a techno-guerrilla war, [while] the US &amp; Israel fight a conventional one&quot;&quot;Quite apart from its failure, the [war] tactic of killing civilian leaders is a war crime &amp; is unprecedented in modern warfare&quot;. Not even Putin re Zelenskyy.https://www.juancole.com/2026/03/fighting-guerrilla-conventional.html #USPol #EUPol #IranWar #news .",neutral,analysis the iranian revolutionary guard be revert to it guerrilla root amp be operate with something like a cell structureiran be fight a technoguerrilla war while the u amp israel fight a conventional onequite apart from it failure the war tactic of kill civilian leader be a war crime amp be unprecedented in modern warfare not even putin re zelenskyyhttpswwwjuancolecomfightingguerrillaconventionalhtml,Neutral
29,"#operationepicfailure #iran #iranwar #taco Every body warned about it , from the Washington post;“A classified report by the National Intelligence Council found that even a large-scale assault on Iran launched by the United States would be unlikely to oust the Islamic republic’s entrenched military and clerical establishment, a sobering assessment as the Trump administration raises the specter of an extended military campaign that officials say has “only just begun.”https://archive.is/2026.03.07-193951/https://www.washingtonpost.com/national-security/2026/03/07/iran-intelligence-report-unlikely-oust-regime/",neutral,every body warn about it from the washington posta classify report by the national intelligence council find that even a largescale assault on iran launch by the united state would be unlikely to oust the islamic republic entrench military and clerical establishment a sobering assessment a the trump administration raise the specter of an extended military campaign that official say have only just begunhttpsarchiveishttpswwwwashingtonpostcomnationalsecurityiranintelligencereportunlikelyoustregime,Neutral
30,"Interview: &quot; We already are in a scenario where the US has lost control of this war&quot;&quot;Iran is the weaker party, but it has the capability to create a much longer mayhem than envisioned by the US &amp; Israel.&quot;~Political scientist Vali Nasrhttps://www.aljazeera.com/video/the-bottom-line/2026/3/4/iran-war-redrawing-the-map-of-the-middle-east-israeli-style #USPol #EUPol #IranWar #USImperialism #news #USIsraeliCrimes .",neutral,interview we already be in a scenario where the u have lose control of this wariran be the weak party but it have the capability to create a much longer mayhem than envision by the u amp israelpolitical scientist vali nasrhttpswwwaljazeeracomvideothebottomlineiranwarredrawingthemapofthemiddleeastisraelistyle,Neutral
31,"&quot;Imperial blowback&quot;In 1953, Churchill &amp; his US counterparts &quot;launched a coup against the democratically elected Prime Minister of Iran, Mohammad Mosaddegh, because he was nationalizing the oil industry...&quot;&quot;... and when that [US-UK] regime was overthrown in the Iranian revolution in 1979, one of the main reasons that people gave for that revolution was the overthrow of Mosaddegh in 1953...&quot;~George Monbiothttps://www.youtube.com/watch?v=eQ54eG4DjX0&amp;t=128s #USPol #UKPol #EUPol #IranWar #Imperialism #BigOil .",neutral,imperial blowbackin churchill amp his u counterpart launch a coup against the democratically elect prime minister of iran mohammad mosaddegh because he be nationalize the oil industry and when that usuk regime be overthrow in the iranian revolution in one of the main reason that people give for that revolution be the overthrow of mosaddegh in george monbiothttpswwwyoutubecomwatchveqegdjxampts,Neutral
32,"Report: &quot;Classified U.S. Document Says Iran War Unlikely to Topple the Regime&quot;The document from late February doubts that Iran’s opposition would take power following either a short or extended U.S. military campaign.&quot;The document came from the National Intelligence Council, which is composed of &quot;veteran analysts who produce classified assessments meant to represent the collective wisdom of Washington’s 18 intelligence agencies.&quot;https://www.washingtonpost.com/national-security/2026/03/07/iran-intelligence-report-unlikely-oust-regime/ #USPol #EUPol #IranWar #TrumpLies .",neutral,report classify u document say iran war unlikely to topple the regimethe document from late february doubt that irans opposition would take power follow either a short or extend u military campaignthe document come from the national intelligence council which be compose of veteran analyst who produce classified assessment mean to represent the collective wisdom of washington intelligence agencieshttpswwwwashingtonpostcomnationalsecurityiranintelligencereportunlikelyoustregime,Neutral
33,"“In Minab, near the Strait of Hormuz, a girls school was bombed, leaving 165 children dead. Yet most Americans cannot name the town where it happened, much less the name of a single one of those girls…That is because modern war depends on a hierarchy of grief, on training people to treat foreign children as an abstraction, a number, an unfortunate ‘incident’ to be denied, obscured or investigated at leisure…the only fact that matters: Children were killed in their classroom, and they were killed with violence made possible, materially and politically, by American power.”#IranWar #children #schoolbombing https://anabaptistworld.org/when-the-bombs-fall-on-other-peoples-children/",negative,in minab near the strait of hormuz a girls school be bomb leaving child dead yet most american can not name the town where it happen much less the name of a single one of those girlsthat be because modern war depend on a hierarchy of grief on train people to treat foreign child a an abstraction a number an unfortunate incident to be deny obscured or investigate at leisurethe only fact that matter child be kill in their classroom and they be kill with violence make possible materially and politically by american power httpsanabaptistworldorgwhenthebombsfallonotherpeopleschildren,Negative
34,"https://www.fogolf.com/1185581/trump-looks-to-turn-attention-to-western-hemisphere-at-least-for-a-moment-at-americas-summit/ Trump looks to turn attention to Western Hemisphere, at least for a moment, at Americas summit #130850145 #article #Diplomacy #Donald #DonaldTrump #DonaldTrumpGolf #DonaldTrumpGolfing #GeneralNews #GovernmentPolicy #IranWar #Politics #trump #TrumpGolf #TrumpGolfing #WarAndUnrest #WashingtonNews #WorldNews",neutral,httpswwwfogolfcomtrumplookstoturnattentiontowesternhemisphereatleastforamomentatamericassummit trump look to turn attention to western hemisphere at least for a moment at americas summit,Neutral
35,We’re living in hell. #Claude #IranWar #AI https://bsky.app/profile/justinling.ca/post/3mgi4xz4pv22xArticle: https://thisweekinworcester.com/exclusive-ai-error-girls-school-bombing/,negative,be live in hell httpsbskyappprofilejustinlingcapostmgixzpvxarticle httpsthisweekinworcestercomexclusiveaierrorgirlsschoolbombing,Negative
36,NOW ON VERDANT SQUARE RADIO == NOW PLAYING == Don Lemon Drop LIVE 3/7/26 - Trump's #Epstein Distraction #IranWar https://www.youtube.com/watch?v=puqILgJ3l7A #news #uspol #radio #BlackMastodon #lgbtq #culture #commentary #trump #resistance #DonLemon #journalism #freespeech #firstamendment #pressfreedom #vsn #progressivenewstalk #progressive #left #resistance #DiverseSpectrumOfTheLeft #SupportIndependentMedia #Resisthttps://mastodon.social/@VerdantSquareRadio/116189422851976027,neutral,now on verdant square radio now play don lemon drop live trump distraction httpswwwyoutubecomwatchvpuqilgjla mastodonsocial,Neutral
37,‘Operation Epstein Distraction’: Trump’s bloody Iran ‘hype videos’ seem to target niche audience https://www.theguardian.com/us-news/2026/mar/07/trump-iran-hype-videos #IranWar #EpsteinFiles #USPol #USPolitics #RepublicansOwnThis,neutral,operation epstein distraction trump bloody iran hype video seem to target niche audience httpswwwtheguardiancomusnewsmartrumpiranhypevideos,Neutral
38,"&quot;Policy choices, not market forces of a war halfway around the world, explain the spike in prices...leading to unnecessary economy-wide #inflation and higher interest rates.&quot; https://www.thestar.com/business/opinion/trumps-war-on-iran-hasnt-altered-canadas-cost-of-making-gas-at-all-so-why/article_4cd48522-31f5-4249-92da-37bbede816c9.html  #IranWar #Uspol #BigOil #WarMachine #cdnpoli",neutral,policy choice not market force of a war halfway around the world explain the spike in pricesleading to unnecessary economywide and high interest rate httpswwwthestarcombusinessopiniontrumpswaroniranhasntalteredcanadascostofmakinggasatallsowhyarticle_cdfdabbedechtml,Neutral
39,NOW PLAYING == Don Lemon Drop LIVE 3/7/26 - Trump&#39;s #Epstein Distraction #IranWar https://www.youtube.com/watch?v=puqILgJ3l7A #news #uspol #radio #BlackMastodon #lgbtq #culture #commentary #trump #resistance #DonLemon #journalism #freespeech #firstamendment #pressfreedom #vsn #progressivenewstalk #progressive #left #resistance #DiverseSpectrumOfTheLeft #SupportIndependentMedia #Resist,neutral,now play don lemon drop live trump distraction httpswwwyoutubecomwatchvpuqilgjla,Neutral
40,"Jarrod Agen, Executive Director of Trump&#39;s National Energy Dominance Council, laid bare the real motive behind the illegal Iran war on Fox Business: it&#39;s a naked grab for Iran&#39;s oil reserves. &quot;This is a long-term game,&quot; Agen said. &quot;What we want to do is get such massive oil reserves in Iran out of the hands of terrorists.&quot;Trump&#39;s &quot;peace through strength&quot; is code for imperialist resource grabs dressed up as anti-terrorism. #NarcoTerrorism #IranWar",negative,jarrod agen executive director of trumps national energy dominance council lay bare the real motive behind the illegal iran war on fox business it a naked grab for iran oil reserve this be a longterm game agen say what we want to do be get such massive oil reserve in iran out of the hand of terroriststrumps peace through strength be code for imperialist resource grab dress up a antiterrorism,Neutral
41,This morning the cost of Trump’s insane #IranWar passed $7.6 billion. https://iran-cost-ticker.com/?mc_cid=79f08e130b&amp;mc_eid=42caf3e016,negative,this morning the cost of trump insane pass billion httpsirancosttickercommc_cidfebampmc_eidcafe,Neutral
42,Martyn Turner @turnercartoons on #Trump #Putin #Iran #IranWar #Netanyahu #IranIsraelWar – political cartoon gallery in London original-political-cartoon.com,neutral,martyn turner on political cartoon gallery in london originalpoliticalcartooncom,Neutral
43,"#GeoPolitics: Imagine that you're a superpower who picks a fight with a theocratic regime half way across the world for no good reason. And you're about to proudly declare victory when the theocracy goes on a rampage, pulls the entire neighborhood into the war, blocks a strategic shipping channel &amp; causes a severe oil supply shock.And that's when it hits you! You forgot to top up your Strategic Oil Reserves before entering the war! 🤦#IranWar - The war of #Hubris &amp; #Blunders!",negative,imagine that youre a superpower who pick a fight with a theocratic regime half way across the world for no good reason and youre about to proudly declare victory when the theocracy go on a rampage pull the entire neighborhood into the war block a strategic shipping channel amp cause a severe oil supply shockand thats when it hit you you forget to top up your strategic oil reserve before enter the war the war of amp,Neutral
44,Christian Adams @Adamstoon1 on #KeirStarmer #Iran #IranWar #RoyalNavy #MiddleEastConflict @Telegraph – political cartoon gallery in London original-political-cartoon.com,neutral,christian adam on political cartoon gallery in london originalpoliticalcartooncom,Neutral
45,Oil and gas prices rapidly rise as Iran war shows no signs of letting upNEW YORK&nbsp;—&nbsp;The price of oil surged higher and showed no signs of halting its rapid climb a week…#NewsBeep #News #BreakingNews #alsalazar #barrel #breakingnews #day #diesel #gasprice #Gasoline #Iran #iranwar #majorrefinery #MiddleEast #Oil #PresidentTrump #price #u.s. #weekhttps://www.newsbeep.com/423054/,negative,oil and gas price rapidly rise a iran war show no sign of let upnew yorknbspnbspthe price of oil surge high and show no sign of halt it rapid climb a week s wwwnewsbeepcom,Neutral
46,"RE: https://journa.host/@ScottLucas/116186718091385958US National Intelligence Council: US- #Israel war is unlikely to topple #Iran regimeAnalysts concluded regime would respond to killing of Supreme Leader w protocols designed to preserve continuity of powerProspect of Iran’s opposition taking control of country described as “unlikely""#IranWar",neutral,httpsjournahostus national intelligence council u war be unlikely to topple regimeanalysts conclude regime would respond to kill of supreme leader w protocol design to preserve continuity of powerprospect of iran opposition take control of country describe a unlikely,Neutral
47,"Great Power Spillover from the Iran War: Implications for China, Russia, Turkey, and Europe | The Washington Institute #IranWar https://www.washingtoninstitute.org/policy-analysis/great-power-spillover-iran-war-implications-china-russia-turkey-and-europe",neutral,great power spillover from the iran war implication for china russia turkey and europe the washington institute httpswwwwashingtoninstituteorgpolicyanalysisgreatpowerspilloveriranwarimplicationschinarussiaturkeyandeurope,Neutral
48,BLAHBYLON&#39;S MUSIC SELECTIONS#BlahbylonsMusicSelections #Music #80sMusic #War #IranWar  Culture Club - The War Song https://www.youtube.com/watch?v=GBd5W9IA7n0&amp;list=RDGBd5W9IA7n0&amp;start_radio=1,neutral,blahbylons music selection culture club the war song httpswwwyoutubecomwatchvgbdwianamplistrdgbdwianampstart_radio,Neutral
49,It doesn&#39;t get any better than this.&quot;Torpedos must be the only pedos the U.S. government is willing to fire.&quot;#PedophileProtectors #IranWar #USPolitics #War #TrumpIsGuilty #TrumpIsAPedo,neutral,it doesnt get any good than thistorpedos must be the only pedos the u government be willing to fire,Positive
50,"See my video, ""How We Rein in #Fascism Amid #War"" https://www.youtube.com/watch?v=cSyHuEqhDhc #politics #brooklyn #impeachment #trump #iran #iranwar #protests",neutral,see my video how we rein in amid httpswwwyoutubecomwatchvcsyhueqhdhc,Neutral
51,Thoughtful piece on spread of collateral damage for #Kenya #journalism #IranWar @deutschewelle https://www.dw.com/en/kenya-braces-as-middle-east-conflict-escalates/a-76218179,neutral,thoughtful piece on spread of collateral damage for httpswwwdwcomenkenyabracesasmiddleeastconflictescalatesa,Positive
52,"2/2  The same goes for the frequent protests.  Makes you wonder who's more ""liberal"".  So today I’ll only share a photo of a burning dumpster (damage left by a group of people) with censored political graffiti.  I think this is important for people to understand, so please share.  #IranWar #Politics",negative,the same go for the frequent protest make you wonder whos more liberal so today ill only share a photo of a burning dumpster damage leave by a group of people with censored political graffiti i think this be important for people to understand so please share,Neutral
53,"I&#39;m puzzled as to why people (BBC news editors) are expecting #Iran to stop hitting countries which are allowing the USA to launch illegal attacks on it.I take the apology to be for attacks on countries that have not been used by the USA, but am not sure if that&#39;s the case. UK too is joining the illegal war by allowing the USA to attack Iran from our bases. #IranWar",negative,im puzzle a to why people bbc news editor be expect to stop hitting country which be allow the usa to launch illegal attack on iti take the apology to be for attack on country that have not be use by the usa but be not sure if thats the case uk too be join the illegal war by allow the usa to attack iran from our base,Negative
54,"In case you’re wondering, just like the #USA &amp;  #Israel, #Iran is regularly launching missiles &amp; drones.They’re striking a lot of oil infrastructure in the region.It may not seem that way because filming or posting about it is illegal -people are being arrested for it.The same goes for the frequent protests.Makes you wonder who&#39;s more &quot;liberal&quot;.So today I’ll only share a photo of a burning dumpster (damage left by a group of people) with censored political graffiti.#IranWar #Politics",neutral,in case youre wonder just like the amp be regularly launching missile amp dronestheyre strike a lot of oil infrastructure in the regionit may not seem that way because filming or post about it be illegal people be be arrest for itthe same go for the frequent protestsmakes you wonder whos more liberalso today ill only share a photo of a burning dumpster damage leave by a group of people with censored political graffiti,Neutral
55,"RE: https://journa.host/@ScottLucas/116186718091385958#UAE President Mohamed bin Zayed issues pointed warning over #Iran retaliatory strikes""UAE has thick skin and bitter flesh – we are no easy prey.We will carry out our duty towards our country, our people, and our residents who are also part of our family""#IranWar",neutral,httpsjournahost president mohamed bin zayed issue point warn over retaliatory strikesuae have thick skin and bitter flesh we be no easy preywe will carry out our duty towards our country our people and our resident who be also part of our family,Neutral
56,"The comedy just writes itself, folks.#Trump #EricTrump #IranWar #Nepotism",neutral,the comedy just write itself folk,Neutral
57,"At 1733z, there are still just 2 #jamming txs in use from #Iran, on 7495 against Radio Farda, and 15750.3 against Iran International.  Will they still divert one of them to the V32 #numberstation on 7910 USB after 1800z, even though... it's no longer on air? 🤣  #shortwave #IranWar #WARINIRAN",neutral,at z there be still just txs in use from on against radio farda and against iran international will they still divert one of them to the v on usb after z even though it no longer on air,Neutral
58,From 2024. Who knew Trump was as a psychic? I&#39;m sure he hears that all the time. No one does psychism like him. #Trump #IranWar #StockMarket #EconomicSlowdown #EconomicStagnation #War #POTUS,neutral,from who know trump be a a psychic im sure he hear that all the time no one do psychism like him,Positive
